Category,Title,Authors,Venue,Year,Language,Text type,Modalities,Learning type,Training type,Model categorie(s),Model type(s),Existing model(s)
Authorship attribution,Authorship attribution of ancient texts written by ten Arabic travelers using a SMO-SVM classifier,"Siham Ouamour, Halim Sayoud",International Conference on Communications and Information Technology (ICCIT),2012,Arabic,Books,Text,Supervised,Trained,Machine Learning,"Logistic Regression, MLP/NN, SVM, n-gram",
Authorship attribution,Authorship attribution of ancient texts written by ten Arabic travelers using character N-Grams,"Siham Ouamour, Halim Sayoud","International Conference on Computer, Information and Telecommunication Systems (CITS)",2013,Arabic,Books,Text,Supervised,Trained,Machine Learning,"Logistic Regression, MLP/NN, SVM, n-gram",
Authorship attribution,Authorship attribution of short historical Arabic texts based on lexical features,"Siham Ouamour, Halim Sayoud",International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery,2013,Arabic,Books,Text,Supervised,Trained,Machine Learning,"Logistic Regression, MLP/NN, SVM, n-gram",
Authorship attribution,Determining if two documents are written by the same author,"Moshe Koppel, Yaron Winter",Journal of the Association for Information Science and Technology,2014,Latin,Books,Text,,,Statistical,Similarity,
Authorship attribution,Authenticating the writings of Julius Caesar,"Mike Kestemont, Justin Stover, Moshe Koppel, Folgert Karsdorp, Walter Daelemans",Expert Systems with Applications,2016,Latin,Books,Text,,,Statistical,Similarity,
Authorship attribution,Computational authorship verification method attributes a new work to a major 2nd century African author,"Justin Anthony Stover, Yaron Winter, Moshe Koppel, Mike Kestemont",Journal of the Association for Information Science and Technology,2016,Latin,Books,Text,Supervised,Trained,Machine Learning,"SVM, Similarity",
Authorship attribution,An application of a profile-based method for authorship verification: Investigating the authenticity of Pliny the Younger's letter to Trajan concerning the Christians,Enrico Tuccinardi,Digital Scholarship in the Humanities,2017,Latin,literature,Text,,,Statistical,n-gram,
Authorship attribution,Devising Rhesus: A strange collaboration between Aeschylus and Euripides,"Nikos Manousakis, Efstathios Stamatatos",Digital Scholarship in the Humanities,2018,Ancient Greek,literature,Text,Supervised,Trained,Machine Learning,SVM,
Authorship attribution,A Comparative Survey of Authorship Attribution on Short Arabic Texts,"Siham Ouamour, Halim Sayoud",International Conference on Speech and Computer,2018,Arabic,Books,Text,Supervised,Trained,Machine Learning,"Logistic Regression, MLP/NN, SVM, n-gram",
Authorship attribution,Authorship attribution of the Golden Lotus based on text classification methods,"Xuemei Tang, Shichen Liang, Zhiying Liu",International Conference on Innovation in Artificial Intelligence,2019,Old Chinese,Poetry,Text,Supervised,Trained,Machine Learning,"K-NN, Logistic Regression, Probabilistic model, SVM, Trees/Random Forest, Trees/Random Forest",
Authorship attribution,The Un-Platonic Menexenus: A Stylometric Analysis with More Data,Thomas Koentges,"Greek, Roman, and Byzantine Studies",2020,Ancient Greek,Plato's dialogues,Text,Unsupervised,,Statistical,n-gram,
Authorship attribution,Authorship Attribution In Historical And Literary Texts By A Deep Learning Classifier,"Ehsan Reisi, Hassan Mahboob Farimani",Journal of Applied Intelligent Systems and Information Sciences,2020,Persian,Literature,Text,Supervised,Trained,Machine Learning,CNN,
Authorship attribution,Historia Augusta authorship: an approach based on Measurements of Complex Networks,"Armando Martins, Clara Grácio, Cláudia Teixeira, Irene Pimenta Rodrigues, Juan Luís Garcia Zapata, Lígia Ferreira",Applied Network Science,2021,Latin,literature,Text,Supervised,Trained,Machine Learning,K-NN,
Authorship attribution,BERT in Plutarch’s Shadows,"Ivan P Yamshchikov, Alexey Tikhonov, Yorgos Pantis, Charlotte Schubert, Jürgen Jost",Empirical Methods in Natural Language Processing (EMNLP),2022,Ancient Greek,literature,Text,Supervised & Self-supervised,Trained,Deep Learning,Transformer,BERT
Authorship attribution,Computational Authorship Analysis of the Homeric Poems,"John Pavlopoulos, Maria Konstantinidou",International Journal of Digital Humanities,2022,Ancient Greek,literature,Text,Self-supervised,Trained,Statistical,"Probabilistic model, n-gram",
Authorship attribution,Syllabic quantity patterns as rhythmic features for Latin authorship attribution,"Silvia Corbara, Alejandro Moreo, Fabrizio Sebastiani",Journal of the Association for Information Science and Technology,2022,Latin,literature,Text,Supervised,Trained,Machine Learning,"CNN, SVM",
Chronological attribution,Hybrid neural network architecture for age identification of ancient Kannada scripts,"K Harish Kashyap, PA Koushik",International Symposium on Circuits and Systems,2003,Kannada script,Inscriptions,Visual,Supervised,Trained,Machine Learning,MLP/NN,
Chronological attribution,Classification of Ancient Epigraphs into different periods using Random Forests,"A Soumya, G Hemantha Kumar",International Conference on Signal and Image Processing,2014,Kannada script,Epigraph,Visual,Supervised,Trained,Machine Learning,Trees/Random Forest,
Chronological attribution,KERTAS: dataset for automatic dating of ancient Arabic manuscripts,"Kalthoum Adam, Asim Baig, Somaya Al-Maadeed, Ahmed Bouridane, Sherine El-Menshawy",International Journal on Document Analysis and Recognition (IJDAR),2018,Arabic,Book ,Visual,Supervised,Trained,Machine Learning,K-NN,
Chronological attribution,Dating Ancient Egyptian Papyri through Raman Spectroscopy: Concept and Application to the Fragments of the Gospel of Jesus’ Wife and the Gospel of John,"Sarah Goler, James T Yardley, David M Ratzan, Roger Bagnall, Alexis Hagadorn, James McInerney",Journal for the Study of the New Testament,2019,Coptic,Ancient Egyptian Papyri,Text,Supervised,Trained,Machine Learning,Linear Regression,
Chronological attribution,A Machine Learning Model for the Dating of Ancient Chinese Texts,"Xuejin Yu, Wei Huangfu",International Conference on Asian Language Processing (IALP),2019,Old Chinese,Digital text,Text,Supervised,Trained,Deep Learning,RNN,
Chronological attribution,Period Classification of 3D Cuneiform Tablets with Geometric Neural Networks,"Bartosz Bogacz, Hubert Mara",International Conference on Frontiers in Handwriting Recognition (ICFHR),2020,Cuneiform,Clay tablets,Text,Supervised,Trained,Deep Learning,CNN,
Chronological attribution,Sundial-GAN: A Cascade Generative Adversarial Networks Framework for Deciphering Oracle Bone Inscriptions,"Xiang Chang, Fei Chao, Changjing Shang, Qiang Shen",ACM International Conference on Multimedia,2022,Ancient Chinese,Oracle Bone Inscriptions,Both,Supervised & Self-supervised,Trained,Deep Learning,GAN,
Chronological attribution,Dating Greek Papyri Images with Machine Learning,"Asimina Paparigopoulou, John Pavlopoulos, Maria Konstantinidou",ICDAR Workshop on Computational Paleography,2022,Ancient Greek,Papyri,Visual,Supervised,Both,Deep Learning,"CNN, K-NN, MLP/NN, Probabilistic model, SVM",VGG16
Chronological attribution,Restoring and attributing ancient texts using deep neural networks,"Yannis Assael, Thea Sommerschield, Brendan Shillingford, Mahyar Bordbar, John Pavlopoulos, Marita Chatzipanagiotou, Ion Androutsopoulos, Jonathan Prag, Nando de Freitas",Nature,2022,Ancient Greek,Inscriptions,Text,Supervised & Self-supervised,Trained,Deep Learning,Transformer,
Chronological attribution,HUE: Pretrained Model and Dataset for Understanding Hanja Documents of Ancient Korea,"Haneul Yoo, Jiho Jin, Juhee Son, JinYeong Bak, Kyunghyun Cho, Alice Oh",North American Chapter of the Association for Computational Linguistics (NAACL),2022,Hanja Korean,Documents,Text,Supervised & Self-supervised,Trained,Deep Learning,Transformer,BERT
Decipherment,Entropic evidence for linguistic structure in the Indus script,"Rajesh PN Rao, Nisha Yadav, Mayank N Vahia, Hrishikesh Joglekar, R Adhikari, Iravatham Mahadevan",Science,2009,Indus script,Inscriptions,Text,Self-supervised,,Statistical,,
Decipherment,A Markov model of the Indus script,"Rajesh PN Rao, Nisha Yadav, Mayank N Vahia, Hrishikesh Joglekar, Ronojoy Adhikari, Iravatham Mahadevan",Proceedings of the National Academy of Sciences (PNAS),2009,Indus script,Inscriptions,Text,Self-supervised,Trained,Machine Learning,Probabilistic model,
Decipherment,"Entropy, the Indus script, and language: A reply to R. Sproat","Rajesh PN Rao, Nisha Yadav, Mayank N Vahia, Hrishikesh Joglekar, Ronojoy Adhikari, Iravatham Mahadevan",Computational Linguistics,2010,Indus script,Inscriptions,Text,Self-supervised,,Statistical,,
Decipherment,Statistical analysis of the Indus script using n-grams,"Nisha Yadav, Hrishikesh Joglekar, Rajesh PN Rao, Mayank N Vahia, Ronojoy Adhikari, Iravatham Mahadevan",PLOS ONE,2010,Indus script,Inscriptions,Text,Self-supervised,Trained,Machine Learning,"Probabilistic model, n-gram",
Decipherment,"Last Words: Ancient Symbols, Computational Linguistics, and the Reviewing Practices of the General Science Journals",Richard Sproat,Computational Linguistics,2010,Indus script,Inscriptions,Text,,,Statistical,,
Decipherment,A statistical model for lost language decipherment,"Benjamin Snyder, Regina Barzilay, Kevin Knight",Association for Computational Linguistics,2010,Ugaritic to Hebrew,,Text,Self-supervised,Trained,Machine Learning,Probabilistic model,
Decipherment,Simple effective decipherment via combinatorial optimization,"Taylor Berg-Kirkpatrick, Dan Klein",Empirical Methods in Natural Language Processing (EMNLP),2011,Ugaritic to Hebrew,,Text,Self-supervised,Trained,Machine Learning,Optimization,
Decipherment,Automated reconstruction of ancient languages using probabilistic models of sound change,"Alexandre Bouchard-Côté, David Hall, Thomas L Griffiths, Dan Klein",Proceedings of the National Academy of Sciences (PNAS),2013,Austronesian languages,,Text,,,Machine Learning,Probabilistic model,
Decipherment,A statistical comparison of written language and nonlinguistic symbol systems,Richard Sproat,Language,2014,Indus script,Inscriptions,Text,Self-supervised,,Statistical,,
Decipherment,Data mining ancient script image data using convolutional neural networks,"Shruti Daggumati, Peter Z Revesz",International Database Engineering & Applications Symposium,2018,"Indus Script to Sumerian, Linear B to Cretan Hieroglyphs",,Visual,Unsupervised,Both,"Deep Learning, Machine Learning","CNN, SVM",
Decipherment,Neural Decipherment via Minimum-Cost Flow: From Ugaritic to Linear B,"Jiaming Luo, Yuan Cao, Regina Barzilay",Annual Meeting of the Association for Computational Linguistics,2019,"Ugaritic to Hebrew, Linear B to Ancient Greek",,Text,Supervised,Trained,Deep Learning,seq2seq,
Decipherment,A Dataset of Mycenaean Linear B Sequences,"Katerina Papavassiliou, Gareth Owens, Dimitrios Kosmopoulos",Language Resources and Evaluation Conference,2020,Linear B,,Both,,,,,
Decipherment,Deciphering Undersegmented Ancient Scripts Using Phonetic Prior,"Jiaming Luo, Frederik Hartmann, Enrico Santus, Regina Barzilay, Yuan Cao",Transactions of the Association for Computational Linguistics,2021,"Gothic, Ugaritic, Iberian",,Text,Self-supervised,Trained,Machine Learning,Probabilistic model,
Decipherment,A Generative and Entropy-Based Registration Approach for the Reassembly of Ancient Inscriptions,"Roberto de Lima-Hernandez, Maarten Vergauwen",Remote Sensing,2021,Indus script,,Both,Unsupervised,Trained,Deep Learning,CNN,
Decipherment,Computational Pattern Recognition in Linear A,"Jajwalya Karajgikar, Amira Al-Khulaidy, Anamaria Berea",preprint,2021,Linear A,Tablets,Text,Unsupervised,Trained,"Deep Learning, Machine Learning","Clustering, K-NN, n-gram, word2vec/fastText",word2vec
Decipherment,Unsupervised deep learning supports reclassification of Bronze age cypriot writing system,"Michele Corazza, Fabio Tamburini, Miguel Valério, Silvia Ferrara",PLOS ONE,2022,Cypro-Minoan,Inscriptions,Text,Supervised & Unsupervised,Both,"Deep Learning, Machine Learning","CNN, Clustering","DeepClusterv2, ResNet"
Fragment reassembly,Toward automatically assembling Hittite-language Cuneiform tablet fragments into larger texts,Stephen Tyndall,Annual Meeting of the Association for Computational Linguistics,2012,Hittite  Cuneiform,Tablets,Text,Supervised,,Machine Learning,"Optimization, Probabilistic model",
Fragment reassembly,Computer-assisted reconstruction of virtual fragmented Cuneiform tablets,"Tim Collins, Sandra I Woolley, Luis Hernandez Munoz, Andrew Lewis, Eugene Ch'ng, Erlend Gehlken",International Conference on Virtual Systems & Multimedia (VSMM),2014,Cuneiform,Tablets,Visual,,,Machine Learning,,
Fragment reassembly,Papy-S-Net: A Siamese Network to match papyrus fragments,"Antoine Pirrone, Marie Beurton Aimar, Nicholas Journet",International Workshop on Historical Document Imaging and Processing,2019,"Coptic, Greek, Arabic, Hebrew, Hieratic, Latin, Demotic",Papyri,Visual,Supervised & Self-supervised,Trained,Deep Learning,CNN,
Fragment reassembly,Machine Learning Based Assembly of Fragments of Ancient Papyrus,"Roy Abitbol, Ilan Shimshoni, Jonathan Ben-Dov",Journal on Computing and Cultural Heritage (JOCCH),2021,Hebrew,Dead Sea Scrolls,Visual,Supervised,Trained,"Deep Learning, Machine Learning","CNN, Trees/Random Forest",
Fragment reassembly,Data-Driven Oracle Bone Rejoining: A Dataset and Practical Self-Supervised Learning Scheme,"Chongsheng Zhang, Bin Wang, Ke Chen, Ruixing Zong, Bo-feng Mo, Yi Men, George Almpanidis, Shanxiong Chen, Xiangliang Zhang",ACM SIGKDD Conference on Knowledge Discovery and Data Mining,2022,Oracle Bone script,Oracle Bone script,Visual,Self-supervised,Trained,Deep Learning,GAN,
Geographical attribution,Restoring and attributing ancient texts using deep neural networks,"Yannis Assael, Thea Sommerschield, Brendan Shillingford, Mahyar Bordbar, John Pavlopoulos, Marita Chatzipanagiotou, Ion Androutsopoulos, Jonathan Prag, Nando de Freitas",Nature,2022,Ancient Greek,Inscriptions,Text,Supervised & Self-supervised,Trained,Deep Learning,Transformer,
Geographical attribution,BERT in Plutarch’s Shadows,"Ivan P Yamshchikov, Alexey Tikhonov, Yorgos Pantis, Charlotte Schubert, Jürgen Jost",Empirical Methods in Natural Language Processing (EMNLP),2022,Ancient Greek,literature,Text,Supervised & Self-supervised,Trained,Deep Learning,Transformer,BERT
Intertextuality,A computational model of text reuse in ancient literary texts,John SY Lee,Annual Meeting of the Association of Computational Linguistics,2007,Ancient Greek,Bible,Text,,,Statistical,n-gram,
Intertextuality,Evidence of intertextuality: investigating Paul the Deacon's Angustae Vitae,"Christopher W Forstall, Sarah L Jacobson, Walter J Scheirer",Literary and Linguistic Computing,2011,Latin,Poetry,Text,Supervised,Trained,Machine Learning,"SVM, n-gram",
Intertextuality,Increasing recall for text re-use in historical documents to support research in the Humanities,"Marco Büchler, Gregory Crane, Maria Moritz, Alison Babeu",International Conference on Theory and Practice of Digital Libraries,2012,Ancient Greek,Literature,Text,,,Statistical,n-gram,
Intertextuality,Intertextuality in the digital age,"Neil Coffee, Jean-Pierre Koenig, Shakthi Poornima, Roelant Ossewaarde, Christopher Forstall, Sarah Jacobson",Transactions of the American Philological Association,2012,Latin,Literature,Text,,,Statistical,Software,Tesserae
Intertextuality,The Tesserae Project: intertextual analysis of Latin poetry,"Neil Coffee, Jean-Pierre Koenig, Shakthi Poornima, Christopher W Forstall, Roelant Ossewaarde, Sarah L Jacobson",Literary and linguistic computing,2012,Latin,Literature,Text,,,Statistical,Software,Tesserae
Intertextuality,Word embeddings pointing the way for Late Antiquity,"Johannes Bjerva, Raf Praet","SIGHUM Workshop on Language Technology for Cultural Heritage, Social Sciences, and Humanities",2015,Latin,Letters,Text,Unsupervised,Trained,Deep Learning,word2vec/fastText,word2vec
Intertextuality,Comparative rates of text reuse in classical Latin hexameter poetry,"Neil Bernstein, Kyle Gervais, Wei Lin",DHQ: Digital Humanities Quarterly,2015,Latin,Literature,Text,,,Statistical,n-gram,Tesserae
Intertextuality,Rethinking intertextuality through a word-space and social network approach–the case of Cassiodorus,"Johannes Bjerva, Raf Praet",Journal of Data Mining and Digital Humanities,2016,Latin,Letters,Text,Unsupervised,Trained,Deep Learning,word2vec/fastText,word2vec
Intertextuality,The sense of a connection: Automatic tracing of intertextuality by meaning,"Walter Scheirer, Christopher Forstall, Neil Coffee",Digital Scholarship in the Humanities,2016,Latin,Literature,Text,,,Statistical,"Engineered features, LSI",
Intertextuality,Non-literal text reuse in historical texts: An approach to identify reuse transformations and its application to Bible reuse,"Maria Moritz, Andreas Wiederhold, Barbara Pavlek, Yuri Bizzoni, Marco Büchler",Empirical Methods in Natural Language Processing (EMNLP),2016,"Latin, Ancient Greek",Bible,Text,,,Statistical,,"AGWN, Biblindex, CLTK, SBLGNT&LXX"
Intertextuality,Quantitative criticism of literary relationships,"Joseph P. Dexter , Theodore Katz , Nilesh Tripuraneni , Tathagata Dasgupta , Ajay Kannan , James A. Brofos , Jorge A. Bonilla Lopez , Lea A. Schroeder , Adriana Casarez , Maxim Rabinovich , Ayelet Haimson Lushkov , Pramit Chaudhuri",Proceedings of the National Academy of Sciences (PNAS),2017,Latin,"literature (Seneca, Livy)",Text,Supervised,Trained,Machine Learning,SVM,
Intertextuality,Using Quantitative Methods for Measuring Inter-Textual Relations in Cuneiform,M Willis Monroe,Digital Biblical Studies,2018,Babylonian  Cuneiform,Tablets,Text,Unsupervised,Trained,Machine Learning,Engineered features,
Intertextuality,Profiling of Intertextuality in Latin Literature Using Word Embeddings,"Patrick J Burns, James Brofos, Kyle Li, Pramit Chaudhuri, Joseph P Dexter",North American Chapter of the Association for Computational Linguistics (NAACL),2021,Latin,Literature,Text,Unsupervised,Trained,Deep Learning,word2vec/fastText,word2vec
Intertextuality,Disentangling the cultural evolution of ancient China: a digital humanities perspective,"Siyu Duan, Jun Wang, Hao Yang, Qi Su",Humanities and Social Sciences Communications,2023,Old Chinese,Books,Text,Unsupervised,Trained,Deep Learning,Transformer,BERT
Intertextuality,Evol project: a comprehensive online platform for quantitative analysis of ancient literature,"Jun Wang, Siyu Duan, Binghao Fu, Liangcai Gao, Qi Su",Humanities and Social Sciences Communications,2024,Old Chinese,Books,Text,Unsupervised,Trained,Deep Learning,Transformer,BERT
Language identification,Twistbytes-identification of Cuneiform languages and German dialects at VarDial 2019,"Fernando Benites de Azevedo e Souza, Pius von Däniken, Mark Cieliebak","Workshop on NLP for Similar Languages, Varieties and Dialects (VarDial)",2019,Cuneiform,Tablets,Text,Supervised,Trained,Machine Learning,SVM,
Language identification,Improving Cuneiform language identification with BERT,"Gabriel Bernier-Colborne, Cyril Goutte, Serge Léger","Workshop on NLP for Similar Languages, Varieties and Dialects (VarDial)",2019,Cuneiform,Tablets,Text,Supervised,Trained,"Deep Learning, Statistical","Probabilistic model, SVM, Transformer",BERT
Language identification,Experiments in Cuneiform Language Identification,"Gustavo Paetzold, Marcos Zampieri","Workshop on NLP for Similar Languages, Varieties and Dialects (VarDial)",2019,Cuneiform,Tablets,Text,Supervised,Trained,Machine Learning,SVM,
Language identification,A report on the third VarDial evaluation campaign,"Marcos Zampieri, Shervin Malmasi, Yves Scherrer, Tanja Samardzic, Francis Tyers, Miikka Silfverberg, Natalia Klyueva, Tung-Le Pan, Chu-Ren Huang, Radu Tudor Ionescu, others","Workshop on NLP for Similar Languages, Varieties and Dialects (VarDial)",2019,Cuneiform,Tablets,Text,Supervised,Trained,Statistical,n-gram,
Language identification,Investigating Machine Learning Methods for Language and Dialect Identification of Cuneiform Texts,"Ehsan Doostmohammadi, Minoo Nassajian","Workshop on NLP for Similar Languages, Varieties and Dialects (VarDial)",2019,Cuneiform,Tablets,Text,Supervised,Trained,Machine Learning,"Probabilistic model, SVM",
Language identification,Language discrimination and transfer learning for similar languages: Experiments with feature combinations and adaptation,"Nianheng Wu, Eric DeMattos, Kwok Him So, Pin-zhen Chen, Çağrı Çöltekin","Workshop on NLP for Similar Languages, Varieties and Dialects (VarDial)",2019,Cuneiform,Tablets,Text,Supervised,Trained,Machine Learning,SVM,
Language identification,Language and Dialect Identification of Cuneiform Texts,"Tommi  Jauhiainen, Heidi  Jauhiainen, Tero  Alstola, Krister Lindén","Workshop on NLP for Similar Languages, Varieties and Dialects (VarDial)",2019,Cuneiform,Tablets,Text,,,Statistical,,
Language identification,Ab Antiquo: Neural Proto-language Reconstruction,"Carlo Meloni, Shauli Ravfogel, Yoav Goldberg",North American Chapter of the Association for Computational Linguistics (NAACL),2021,Languages derived from Latin,Orthographic/phonetic form,Text,Supervised,Trained,Deep Learning,"MLP/NN, RNN, seq2seq",
Machine translation,Annotating a low-resource language with LLOD technology: Sumerian morphology and syntax,"Christian Chiarcos, Ilya Khait, Émilie Pagé-Perron, Niko Schenk, Christian Fäth, Julius Steuer, William Mcgrath, Jinyan Wang",Information,2018,Sumerian  Cuneiform,Inscriptions,Text,Supervised & Unsupervised,,Machine Learning,,
Machine translation,Automatic translating between ancient Chinese and contemporary Chinese with limited aligned corpora,"Zhiyuan Zhang, Wei Li, Qi Su",CCF International Conference on Natural Language Processing and Chinese Computing,2019,Old Chinese,Literature,Text,Unsupervised,Trained,Deep Learning,seq2seq,
Machine translation,Reading Akkadian Cuneiform using Natural Language Processing,"Shai Gordin, Gai Gutherz, Ariel Elazary, Avital Romach, Enrique Jiménez, Jonathan Berant, Yoram Cohen",PLOS ONE,2020,Akkadian  Cuneiform,Inscriptions,Visual,Supervised,Trained,"Deep Learning, Machine Learning","Probabilistic model, RNN",
Machine translation,Ancient Korean neural machine translation,"Chanjun Park, Chanhee Lee, Yeongwook Yang, Heuiseok Lim",IEEE Access,2020,Old Korean,Books,Text,Supervised,Trained,Deep Learning,Transformer,
Machine translation,Towards the First Machine Translation System for Sumerian Transliterations,"Ravneet Punia, Niko Schenk, Christian Chiarcos, Émilie Pagé-Perron",International Conference on Computational Linguistics,2020,Sumerian  Cuneiform,Inscriptions,Text,Supervised,Trained,Deep Learning,"Transformer, seq2seq",
Machine translation,An automatic evaluation metric for Ancient-Modern Chinese translation,"Kexin Yang, Dayiheng Liu, Qian Qu, Yongsheng Sang, Jiancheng Lv",Neural Computing and Applications,2021,Old Chinese,Literature,Text,Supervised,Trained,Deep Learning,"Transformer, seq2seq",BERT
Machine translation,Restoring and Mining the Records of the Joseon Dynasty via Neural Language Modeling and Machine Translation,"Kyeongpil Kang, Kyohoon Jin, Soyoung Yang, Soojin Jang, Jaegul Choo, Youngbin Kim",North American Chapter of the Association for Computational Linguistics (NAACL),2021,Old Korean,Inscriptions,Text,Supervised & Self-supervised,Trained,Deep Learning,Transformer,
Machine translation,Automatic Translation Alignment for Ancient Greek and Latin,"Tariq Yousef, Chiara Palladino, David J Wright, Monica Berti",Proceedings of the Second Workshop on Language Technologies for Historical and Ancient Languages,2022,"Ancient Greek, Latin",Historical fragments,Text,Supervised,Both,Deep Learning,Transformer,"XLM-RoBERTa, mBERT"
Machine translation,Priming Ancient Korean Neural Machine Translation,"Chanjun Park, Seolhwa Lee, Jaehyung Seo, Hyeonseok Moon, Sugyeong Eo, Heuiseok Lim",Language Resources and Evaluation Conference (LREC),2022,Old Korean,Historical documents,Text,Supervised,Trained,Deep Learning,Transformer,
Machine translation,Translating Hanja Historical Documents to Contemporary Korean and English,"Juhee Son, Jiho Jin, Haneul Yoo, JinYeong Bak, Kyunghyun Cho, Alice Oh",Findings of the Association for Computational Linguistics: EMNLP,2022,Old Korean,Historical documents,Text,Supervised,Trained,Deep Learning,Transformer,
Machine translation,Translating Akkadian to English with neural machine translation,"Gai Gutherz, Shai Gordin, Luis Sáenz, Omer Levy, Jonathan Berant",PNAS nexus,2023,Akkadian  Cuneiform,Tablets,Text,Supervised,Trained,Deep Learning,CNN,
POS tagging and Parsing,Will a parser overtake Achilles? First experiments on parsing the ancient Greek dependency treebank,"Francesco Mambrini, Marco Carlo Passarotti, others",International Workshop on Treebanks and Linguistic Theories,2012,Ancient Greek,Literature,Text,Supervised,Trained,Statistical,,
POS tagging and Parsing,Morphological disambiguation of classical Sanskrit,Oliver Hellwig,International Workshop on Systems and Frameworks for Computational Morphology,2015,Ancient Sanskrit,Literature,Text,Supervised,,Machine Learning,"CRF, Optimization",
POS tagging and Parsing,"UDPipe: trainable pipeline for processing CoNLL-U files performing tokenization, morphological analysis, POS tagging and parsing","Milan Straka, Jan Hajic, Jana Straková",Language Resources and Evaluation Conference (LREC),2016,"32 languages including Ancient Greek, Latin, Persian, Hebrew, and Old Tamil",,Text,Supervised,Trained,Deep Learning,"RNN, RNN",
POS tagging and Parsing,Part of speech tagging for ancient Greek,"Giuseppe GA Celano, Gregory Crane, Saeed Majidi",Open Linguistics,2016,Ancient Greek,Literature,Text,,,Statistical,,"Hunpos tagger, Mate tagger, NLTK Unigram tagger, OpenNLP tagger, RFTagger"
