Category,Title,Authors,Venue,Year,Language,Text type,Modalities,Learning type,Training type,Model categorie(s),Model type(s),Existing model(s)
POS tagging and Parsing,Differentia compositionem facit. A slower-paced and reliable parser for Latin,"Edoardo Maria Ponti, Marco Passarotti",Language Resources and Evaluation Conference (LREC),2016,Latin,Literature,Text,Supervised,Trained,Deep Learning,MLP/NN,
POS tagging and Parsing,Arc-Hybrid Non-Projective Dependency Parsing with a Static-Dynamic Oracle,"Miryam de Lhoneux, Sara Stymne, Joakim Nivre",International Conference on Parsing Technologies (IWPT).,2017,Various languages including Ancient Greek,Literature,Text,,,Statistical,,
POS tagging and Parsing,CoNLL 2017 shared task: Multilingual parsing from raw text to universal dependencies,"Daniel Zeman, Martin Popel, Milan Straka, Jan Hajic, Joakim Nivre, Filip Ginter, Juhani Luotolahti, Sampo Pyysalo, Slav Petrov, Martin Potthast, Francis Tyers, Elena Badmaeva, Memduh Gokirmak, Anna Nedoluzhko, Silvie Cinkova, Jan Hajic jr., Jaroslava Hlavacova, Václava Kettnerová, Zdenka Uresova, Jenna Kanerva, Stina Ojala, Anna Missilä, Christopher D. Manning, Sebastian Schuster, Siva Reddy, Dima Taji, Nizar Habash, Herman Leung, Marie-Catherine de Marneffe, Manuela Sanguinetti, Maria Simi, Hiroshi Kanayama, Valeria dePaiva, Kira Droganova, Héctor Martínez Alonso, Çağrı Çöltekin, Umut Sulubacak, Hans Uszkoreit, Vivien Macketanz, Aljoscha Burchardt, Kim Harris, Katrin Marheinecke, Georg Rehm, Tolga Kayadelen, Mohammed Attia, Ali Elkahky, Zhuoran Yu, Emily Pitler, Saran Lertpradit, Michael Mandl, Jesse Kirchner, Hector Fernandez Alcalde, Jana Strnadová, Esha Banerjee, Ruli Manurung, Antonio Stella, Atsuko Shimada, Sookyoung Kwak, Gustavo Mendonca, Tatiana Lando, Rattima Nitisaroj, Josie Li",CoNLL 2017 Shared Task: Multilingual Parsing from Raw Text to Universal Dependencies,2017,Various languages including Latin and Ancient Greek,Literature,Text,,,,,
POS tagging and Parsing,UDPipe 2.0 prototype at CoNLL 2018 UD shared task,Milan Straka,CoNLL 2018 Shared Task: Multilingual Parsing from Raw Text to Universal Dependencies,2018,,,Text,Supervised,Both,Deep Learning,Transformer,BERT
POS tagging and Parsing,The Diorisis Ancient Greek Corpus: Linguistics and Literature,"Alessandro Vatri, Barbara McGillivray",Research Data Journal for the Humanities and Social Sciences,2018,Ancient Greek,Literature,Text,,,Statistical,Software,
POS tagging and Parsing,A Simple yet Effective Joint Training Method for Cross-Lingual Universal Dependency Parsing,"Danlu Chen, Mengxiao Lin, Zhifeng Hu, Xipeng Qiu",CoNLL 2018 Shared Task: Multilingual Parsing from Raw Text to Universal Dependencies,2018,Various languages including Latin,Literature,Text,Supervised,Trained,Deep Learning,RNN,
POS tagging and Parsing,Tree-stack LSTM in transition based dependency parsing,"Ömer Kırnap, Erenay Dayanık, Deniz Yuret",CoNLL 2018 Shared Task: Multilingual Parsing from Raw Text to Universal Dependencies,2018,Various languages including Latin and Ancient Greek,Literature,Text,Supervised,Both,Deep Learning,RNN,
POS tagging and Parsing,The SLT-Interactions Parsing System at the CoNLL 2018 Shared Task,"Riyaz Ahmad Bhat, Irshad Bhat, Srinivas Bangalore",CoNLL 2018 Shared Task: Multilingual Parsing from Raw Text to Universal Dependencies,2018,Various languages including Latin and Ancient Greek,Literature,Text,Supervised,Both,Deep Learning,RNN,
POS tagging and Parsing,AntNLP at CoNLL 2018 shared task: A graph-based parser for universal dependency parsing,"Tao Ji, Yufang Liu, Yijun Wang, Yuanbin Wu, Man Lan",CoNLL 2018 Shared Task: Multilingual Parsing from Raw Text to Universal Dependencies,2018,Various languages including Latin and Ancient Greek,Literature,Text,Supervised,Trained,Deep Learning,RNN,
POS tagging and Parsing,NLP-Cube: End-to-end raw text processing with neural networks,"Tiberiu Boroş, Ştefan Daniel Dumitrescu, Ruxandra Burtica",CoNLL 2018 Shared Task: Multilingual Parsing from Raw Text to Universal Dependencies,2018,Various languages including Latin and Ancient Greek,Literature,Text,Supervised,Trained,Deep Learning,RNN,
POS tagging and Parsing,"Towards Better UD Parsing: Deep Contextualized Word Embeddings, Ensemble, and Treebank Concatenation","Wanxiang  Che, Yijia  Liu, Yuxuan  Wang, Bo  Zheng, Ting Liu",CoNLL 2018 Shared Task: Multilingual Parsing from Raw Text to Universal Dependencies,2018,Various languages including Latin and Ancient Greek,Literature,Text,Supervised,Both,Deep Learning,RNN,
POS tagging and Parsing,Joint learning of POS and dependencies for multilingual universal dependency parsing,"Zuchao Li, Shexia He, Zhuosheng Zhang, Hai Zhao",CoNLL 2018 Shared Task: Multilingual Parsing from Raw Text to Universal Dependencies,2018,Various languages including Latin and Ancient Greek,Literature,Text,Supervised,Both,Deep Learning,RNN,
POS tagging and Parsing,Turku neural parser pipeline: An end-to-end system for the CoNLL 2018 shared task,"Jenna Kanerva, Filip Ginter, Niko Miekka, Akseli Leino, Tapio Salakoski",CoNLL 2018 Shared Task: Multilingual parsing from raw text to universal dependencies,2018,Various languages including Latin and Ancient Greek,Literature,Text,Supervised,Both,Deep Learning,RNN,
POS tagging and Parsing,An improved neural network model for joint POS tagging and dependency parsing,"Dat Quoc Nguyen, Karin Verspoor",arXiv preprint arXiv:1807.03955,2018,Various languages including Latin and Ancient Greek,Literature,Text,Supervised,Both,Deep Learning,RNN,
POS tagging and Parsing,IBM research at the CoNLL 2018 shared task on multilingual parsing,"Hui Wan, Tahira Naseem, Young-Suk Lee, Vittorio Castelli, Miguel Ballesteros",CoNLL 2018 Shared Task: Multilingual Parsing from Raw Text to Universal Dependencies,2018,Various languages including Latin and Ancient Greek,Literature,Text,Supervised,Both,Deep Learning,RNN,
POS tagging and Parsing,CEA LIST: Processing low-resource languages for CoNLL 2018,"Elie Duthoo, Olivier Mesnard",CoNLL 2018 Shared Task: Multilingual Parsing from Raw Text to Universal Dependencies,2018,Various languages including Latin and Ancient Greek,Literature,Text,Supervised,Both,Deep Learning,RNN,
POS tagging and Parsing,"82 treebanks, 34 models: Universal dependency parsing with multi-treebank models","Aaron Smith, Bernd Bohnet, Miryam de Lhoneux, Joakim Nivre, Yan Shao, Sara Stymne",arXiv preprint arXiv:1809.02237,2018,Various languages including Latin and Ancient Greek,Literature,Text,Supervised,Pretrained,Deep Learning,RNN,
POS tagging and Parsing,ELMoLex: Connecting ELMo and lexicon features for dependency parsing,"Ganesh Jawahar, Benjamin Muller, Amal Fethi, Louis Martin, Éric Villemonte De La Clergerie, Benoît Sagot, Djamé Seddah",CoNLL 2018 Shared Task: Multilingual Parsing from Raw Text to Universal Dependencies,2018,Various languages including Latin and Ancient Greek,Literature,Text,Supervised,Both,Deep Learning,RNN,ELMo
POS tagging and Parsing,"Evaluating contextualized embeddings on 54 languages in POS tagging, lemmatization and dependency parsing","Milan Straka, Jana Straková, Jan Hajič",arXiv preprint arXiv:1908.07448,2019,54 languages,,Text,Supervised,Both,Deep Learning,"RNN, Transformer",BERT
POS tagging and Parsing,"Creating, Enriching and Valorizing Treebanks of Ancient Greek","Alek Keersmaekers, Wouter Mercelis, Colin Swaelens, Toon Van Hal",International Workshop on Treebanks and Linguistic Theories (TLT),2019,Ancient Greek,Literature,Text,,,,,
POS tagging and Parsing,Universal dependency parsing from scratch,"Peng Qi, Timothy Dozat, Yuhao Zhang, Christopher D Manning",arXiv preprint arXiv:1901.10457,2019,Various languages including Latin and Ancient Greek,,Text,Supervised,Both,Deep Learning,RNN,
POS tagging and Parsing,Automated phonological transcription of Akkadian Cuneiform text,"Aleksi Sahala, Miikka Silfverberg, Antti Arppe, Krister Lindén",Language Resources and Evaluation Conference (LREC),2020,Akkadian Cuneiform,Tablets,Both,Supervised,Trained,Deep Learning,seq2seq,
POS tagging and Parsing,Lemmatization for Ancient Greek: An experimental assessment of the state of the art,"Alessandro Vatri, Barbara McGillivray",Journal of Greek Linguistics,2020,Ancient Greek,Literature,Text,,,Statistical,Software,
POS tagging and Parsing,BabyFST: Towards a finite-state based computational model of ancient Babylonian,"Aleksi Sahala, Miikka Silfverberg, Antti Arppe, Krister Lindén",Language Resources and Evaluation Conference (LREC),2020,Babylonian Cuneiform,Inscriptions,Text,,,Machine Learning,Finite State Transducer,
POS tagging and Parsing,JHUBC’s Submission to LT4HALA EvaLatin 2020,"Winston Wu, Garrett Nicolai",Workshop on Language Technologies for Historical and Ancient Languages (LT4HALA),2020,Latin,,Text,Supervised,Trained,Deep Learning,RNN,
POS tagging and Parsing,Overview of the EvaLatin 2020 evaluation campaign,"Rachele Sprugnoli, Marco Passarotti, Flavio Massimiliano Cecchini, Matteo Pellegrini",Workshop on Language Technologies for Historical and Ancient Languages (LT4HALA),2020,Latin,Literature,Text,,,,,
POS tagging and Parsing,Data-driven choices in neural part-of-speech tagging for Latin,Geoff Bacon,Workshop on Language Technologies for Historical and Ancient Languages (LT4HALA),2020,Latin,,Text,Supervised,Pretrained,Deep Learning,RNN,
POS tagging and Parsing,Latin BERT: A contextual language model for classical philology,"David Bamman, Patrick J Burns",arXiv preprint arXiv:2009.10053,2020,Latin,Philology,Text,Supervised,Trained,Deep Learning,Transformer,BERT
POS tagging and Parsing,UDPipe at EvaLatin 2020: Contextualized embeddings and treebank embeddings,"Milan Straka, Jana Straková",arXiv preprint arXiv:2006.03687,2020,Latin,,Text,Supervised,Pretrained,Deep Learning,Transformer,"BERT, XLM-RoBERTa"
POS tagging and Parsing,A gradient boosting-seq2seq system for Latin POS tagging and lemmatization,Giuseppe G. A. Celano,Workshop on Language Technologies for Historical and Ancient Languages (LT4HALA),2020,Latin,Literature,Text,Supervised,Both,Deep Learning,"Boosting, seq2seq",LightGBM
POS tagging and Parsing,Voting for POS tagging of Latin texts: Using the flair of FLAIR to better ensemble classifiers by example of Latin,"Manuel Stoeckel, Alexander Henlein, Wahed Hemati, Alexander Mehler",Workshop on Language Technologies for Historical and Ancient Languages (LT4HALA),2020,Latin,Literature and documents and Latin Wikipedia,Text,Supervised,Trained,Deep Learning,RNN,
POS tagging and Parsing,Integration of Automatic Sentence Segmentation and Lexical Analysis of Ancient Chinese based on BiLSTM-CRF Model,"Ning Cheng, Bin Li, Liming Xiao, Changwei Xu, Sijia Ge, Xingyue Hao, Minxuan Feng",Workshop on Language Technologies for Historical and Ancient Languages (LT4HALA),2020,Old Chinese,Literature,Text,Supervised,Trained,Deep Learning,RNN,
POS tagging and Parsing,"Semi-supervised neural system for tagging, parsing and lematization","Piotr Rybak, Alina Wróblewska",arXiv preprint arXiv:2004.12450,2020,Various languages including Latin,,Text,Supervised,Both,Deep Learning,RNN,
POS tagging and Parsing,A Pilot Study for BERT Language Modelling and Morphological Analysis for Ancient and Medieval Greek,"Pranaydeep Singh, Gorik Rutten, Els Lefever","SIGHUM Workshop on Computational Linguistics for Cultural Heritage, Social Sciences, Humanities and Literature",2021,Ancient Greek,Literature,Text,Supervised,Pretrained,Deep Learning,Transformer,BERT
POS tagging and Parsing,AnchiBERT: a pre-trained model for ancient Chinese language understanding and generation,"Huishuang Tian, Kexin Yang, Dayiheng Liu, Jiancheng Lv",International Joint Conference on Neural Networks (IJCNN),2021,Old Chinese,"Articles, poetry and couplets",Text,Supervised & Self-supervised,Pretrained,Deep Learning,Transformer,BERT
POS tagging and Parsing,Transformer-based part-of-speech tagging and lemmatization for Latin,"Krzysztof Wróbel, Krzysztof Nowak",Workshop on Language Technologies for Historical and Ancient Languages (LT4HALA),2022,,,Text,,,,,
POS tagging and Parsing,Overview of the EvaLatin 2022 Evaluation Campaign,"Rachele Sprugnoli, Marco Passarotti, Cecchini Flavio Massimiliano, Margherita Fantoli, Giovanni Moretti",Workshop on Language Technologies for Historical and Ancient Languages (LT4HALA),2022,Latin,,Text,,,,,
POS tagging and Parsing,An electra model for Latin token tagging tasks,"Wouter Mercelis, Alek Keersmaekers",Workshop on Language Technologies for Historical and Ancient Languages (LT4HALA),2022,Latin,,Text,,,,,
POS tagging and Parsing,BERT 4EVER@ EvaHan 2022: Ancient Chinese Word Segmentation and Part-of-Speech Tagging based on Adversarial Learning and Continual Pre-training,"Hailin Zhang, Ziyu Yang, Yingwen Fu, Ruoyao Ding",Workshop on Language Technologies for Historical and Ancient Languages (LT4HALA),2022,Old Chinese,Literature,Text,Supervised,Both,Deep Learning,Transformer,BERT
POS tagging and Parsing,A Joint Framework for Ancient Chinese WS and POS Tagging based on Adversarial Ensemble Learning,Shuxun Yang,Workshop on Language Technologies for Historical and Ancient Languages (LT4HALA),2022,Old Chinese,Literature,Text,Supervised,Both,Deep Learning,"RNN, Transformer",BERT
POS tagging and Parsing,Glyph Features Matter: a Multimodal Solution for EvaHan in LT4HALA2022,"Xinyuan Wei, Weihao Liu, Qing Zong, Shaoqing Zhang, Baotian Hu",Workshop on Language Technologies for Historical and Ancient Languages (LT4HALA),2022,Old Chinese,Literature,Text,Supervised & Self-supervised,Both,Deep Learning,Transformer,GlyphBERT
POS tagging and Parsing,The First International Ancient Chinese Word Segmentation and POS Tagging Bakeoff: Overview of the EvaHan 2022 Evaluation Campaign,"Bin Li, Yiguo Yuan, Jingya Lu, Minxuan Feng, Chao Xu, Weiguang Qu, Dongbo Wang",Workshop on Language Technologies for Historical and Ancient Languages (LT4HALA),2022,Old Chinese,Literature,Text,,,,,
POS tagging and Parsing,Simple Tagging System with RoBERTa for Ancient Chinese,"Binghao Tang, Boda Lin, Si Li",Workshop on Language Technologies for Historical and Ancient Languages (LT4HALA),2022,Old Chinese,Literature,Text,,,,,
POS tagging and Parsing,Ancient Chinese Word Segmentation and Part-of-Speech Tagging Using Distant Supervision,"Shuo Feng, Piji Li","International Conference on Acoustics, Speech and Signal Processing (ICASSP)",2023,Old Chinese,Manuscripts,Text,Weakly-supervised,Trained,Deep Learning,"CRF, Transformer",SIKU-Roberta
Palaeographic analysis and writer identification,Automatic writer identification of ancient Greek inscriptions,"Michail Panagopoulos, Constantin Papaodysseus, Panayiotis Rousopoulos, Dimitra Dafi, Stephen Tracy",IEEE Transactions on pattern analysis and machine intelligence,2008,Ancient Greek,Inscriptions,Visual,,,Statistical,,
Palaeographic analysis and writer identification,The study of hands on Greek inscriptions: the need for a digital approach,"Stephen V Tracy, Constantin Papaodysseus",American Journal of Archaeology,2009,Ancient Greek,Inscriptions,Visual,,,Statistical,,
Palaeographic analysis and writer identification,Handwriting automatic classification: Application to ancient Greek inscriptions,"Constantin Papaodysseus, Panayiotis Rousopoulos, Dimitris Arabadjis, Fivi Panopoulou, Michalis Panagopoulos",International Conference on Autonomous and Intelligent System,2010,Ancient Greek,Inscriptions,Visual,,,Statistical,,
Palaeographic analysis and writer identification,New mathematical and algorithmic schemes for pattern classification with application to the identification of writers of important ancient documents,"Dimitris Arabadjis, Fotios Giannopoulos, Constantin Papaodysseus, Solomon Zannos, Panayiotis Rousopoulos, Mihalis Panagopoulos, Christopher Blackwell",Pattern recognition,2013,Ancient Greek,"Inscriptions, Byzantine codices",Visual,,,Statistical,,
Palaeographic analysis and writer identification,Identifying the writer of ancient inscriptions and Byzantine codices. A novel approach,"Constantin Papaodysseus, Panayiotis Rousopoulos, Fotios Giannopoulos, Solomon Zannos, Dimitris Arabadjis, Mihalis Panagopoulos, E Kalfa, Christopher Blackwell, Stephen Tracy",Computer Vision and Image Understanding,2014,Ancient Greek,"Inscriptions, Byzantine codices",Visual,,,Statistical,,
Palaeographic analysis and writer identification,Document writer analysis with rejection for historical Arabic manuscripts,"Daniel Fecker, Abedelkadir Asi, Werner Pantke, Volker Märgner, Jihad El-Sana, Tim Fingscheidt",International conference on frontiers in handwriting recognition,2014,Arabic,Manuscripts,Visual,Supervised,Trained,Machine Learning,SVM,
Palaeographic analysis and writer identification,Writer identification for historical Arabic documents,"Daniel Fecker, Abedelkadir Asit, Volker Märgner, Jihad El-Sana, Tim Fingscheidt",International conference on pattern recognition,2014,Arabic,Manuscripts,Visual,Supervised,Trained,Machine Learning,SVM,
Palaeographic analysis and writer identification,Algorithmic handwriting analysis of Judah's military correspondence sheds light on composition of biblical texts,"S Faigenbaum-Golovin, A Shaus, B Sober, D Levin, N Na'aman, B Sass, E Turkel, E Piasetzky, I Finkelstein",Proceedings of the National Academy of Sciences (PNAS),2016,Hebrew,Inscriptions,Visual,,,Statistical,,
Palaeographic analysis and writer identification,Image-based historical manuscript dating using contour and stroke fragments,"Sheng He, Petros Samara, Jan Burgers, Lambert Schomaker",Pattern Recognition,2016,Medieval languages,Medieval manuscripts,Visual,,,Statistical,Engineered features,
Palaeographic analysis and writer identification,Computer Vision and Machine Learning Methods for Analyzing First Temple Period Inscriptions,Arie Shaus,Tel Aviv University,2017,Hebrew,Inscriptions,Visual,,,Statistical,,
Palaeographic analysis and writer identification,A digital palaeographic approach towards writer identification in the Dead Sea Scrolls,"Maruf A Dhali, Sheng He, Mladen Popović, Eibert Tigchelaar, Lambert Schomaker",International Conference on Pattern Recognition Applications and Methods,2017,Hebrew,Dead Sea Scrolls,Visual,Supervised,Trained,Machine Learning,"Engineered features, K-NN",
Palaeographic analysis and writer identification,On writer identification for Arabic historical manuscripts,"Abedelkadir Asi, Alaa Abdalhaleem, Daniel Fecker, Volker Märgner, Jihad El-Sana",International Journal on Document Analysis and Recognition (IJDAR),2017,Medieval languages,post-antique manuscripts,Visual,,,Statistical,,
Palaeographic analysis and writer identification,WAHD: a database for writer identification of Arabic historical documents,"Alaa Abdelhaleem, Ahmed Droby, Abedelkader Asi, Majeed Kassis, Reem Al Asam, Jihad El-sanaa",International workshop on Arabic script analysis and recognition (ASAR),2017,Medieval languages,Medieval manuscripts,Visual,,,Statistical,,
Palaeographic analysis and writer identification,ICDAR2017 competition on historical document writer identification,"Stefan Fiel, Florian Kleber, Markus Diem, Vincent Christlein, Georgios Louloudis, Stamatopoulos Nikos, Basilis Gatos",IAPR International Conference on Document Analysis and Recognition (ICDAR),2017,Medieval languages,Medieval manuscripts,Visual,,,,,
Palaeographic analysis and writer identification,KERTAS: dataset for automatic dating of ancient Arabic manuscripts,"Kalthoum Adam, Asim Baig, Somaya Al-Maadeed, Ahmed Bouridane, Sherine El-Menshawy",International Journal on Document Analysis and Recognition (IJDAR),2018,Arabic,Book images,Visual,Supervised,Trained,Machine Learning,"Engineered features, K-NN",
Palaeographic analysis and writer identification,Reliable writer identification in medieval manuscripts through page layout features: The “Avila” Bible case,"Claudio De Stefano, Marilena Maniaci, Francesco Fontanella, A Scotto di Freca",Engineering Applications of Artificial Intelligence,2018,Latin,Medieval book,Visual,Supervised,Trained,Machine Learning,"Engineered features, K-NN, MLP/NN, SVM, Trees/Random Forest",
Palaeographic analysis and writer identification,Grk-papyri: A dataset of Greek handwriting on papyri for the task of writer identification,"Hussein Mohammed, Isabelle Marthot-Santaniello, Volker Märgner",International Conference on Document Analysis and Recognition (ICDAR),2019,Ancient Greek,Images of handwriting samples,Visual,Supervised,Trained,Machine Learning,"Engineered features, K-NN, Probabilistic model",
Palaeographic analysis and writer identification,A general methodology for identifying the writer of codices. Application to the celebrated “twins”,"DDimitrios Arabadjis, Fotios Giannopoulos, Michail Panagopoulos, Michail Exarchos, Christopher Blackwell, Constantin Papaodysseus",Journal of Cultural Heritage,2019,Ancient Greek,Byzantine codices preserving parts of the Homeric Iliad,Visual,,,Statistical,Engineered features,
Palaeographic analysis and writer identification,ICDAR 2019 competition on image retrieval for historical handwritten documents,"Vincent Christlein, Anguelos Nicolaou, Mathias Seuret, Dominique Stutzmann, Andreas Maier",International Conference on Document Analysis and Recognition (ICDAR),2019,Medieval languages,historical handwritten documents,Visual,,,,,
Palaeographic analysis and writer identification,Learning features for writer identification from handwriting on Papyri,"Sidra Nasir, Imran Siddiqi",Mediterranean Conference on Pattern Recognition and Artificial Intelligence,2020,Byzantine Greek,Papyri,Visual,Supervised,Trained,Deep Learning,CNN,
Palaeographic analysis and writer identification,Encoding pathlet and SIFT features with bagged VLAD for historical writer identification,"Songxuan Lai, Yecheng Zhu, Lianwen Jin",IEEE Transactions on Information Forensics and Security,2020,Medieval languages,,Visual,,,Statistical,Engineered features,
Palaeographic analysis and writer identification,ICFHR 2020 competition on image retrieval for historical handwritten fragments,"Mathias Seuret, Anguelos Nicolaou, Dominique Stutzmann, Andreas Maier, Vincent Christlein",International conference on frontiers in handwriting recognition (ICFHR),2020,Medieval languages,historical handwritten fragments,,,,,,
Palaeographic analysis and writer identification,Artificial intelligence based writer identification generates new evidence for the unknown scribes of the Dead Sea Scrolls exemplified by the Great Isaiah Scroll (1QIsaa),"Mladen Popović, Maruf A Dhali, Lambert Schomaker",PLOS ONE,2021,Hebrew,Dead Sea Scrolls,Both,Supervised,Trained,Deep Learning,"RNN, seq2seq",
Palaeographic analysis and writer identification,Computational Handwriting Analysis of Ancient Hebrew Inscriptions – A Survey,"Shira Faigenbaum-Golovin, Arie Shaus, Barak Sober",IEEE BITS the Information Theory Magazine,2022,Hebrew,,,,,,,
Palaeographic analysis and writer identification,A deep learning based system for writer identification in handwritten Arabic historical manuscripts,"Michel Chammas, Abdallah Makhoul, Jacques Demerjian, Elie Dannaoui",Multimedia Tools and Applications,2022,Medieval languages,Historical manuscripts,Visual,Supervised,Both,Deep Learning,"CNN, Clustering, Engineered features, Similarity",ResNet20
Quality enhancement,Visual enhancement of incised text,"Nicholas Molton, Xiaobo Pan, Michael Brady, Alan K Bowman, Charles Crowther, Roger Tomlin",Pattern recognition,2003,Latin,Tablets,Visual,,,Statistical,,
Quality enhancement,Algorithmic handwriting analysis of Judah's military correspondence sheds light on composition of biblical texts,"S Faigenbaum-Golovin, A Shaus, B Sober, D Levin, N Na'aman, B Sass, E Turkel, E Piasetzky, I Finkelstein",Proceedings of the National Academy of Sciences (PNAS),2016,Hebrew,Inscriptions,Visual,,,Statistical,,
Quality enhancement,From invisibility to readability: recovering the ink of Herculaneum,"Clifford Seth Parker, Stephen Parsons, Jack Bandy, Christy Chapman, Frederik Coppens, William Brent Seales",PLOS ONE,2019,"Ancient Greek, Latin",Papyri,Visual,Supervised,Trained,Deep Learning,CNN,
Quality enhancement,Improvement of Ancient Shui Character Recognition Model Based on Convolutional Neural Network,"Hongshuai Zhao, Haozhen Chu, Yuanyuan Zhang, Yu Jia",IEEE Access,2020,Ancient Shui Chinese,Books,Visual,Unsupervised,Trained,Deep Learning,"CNN, GAN",
Quality enhancement,Context Aware Generation of Cuneiform Signs,"Kai Brandenbusch, Eugen Rusakov, Gernot A Fink",International Conference on Document Analysis and Recognition,2021,Cuneiform,Tablets,Visual,Unsupervised,Trained,Deep Learning,"CNN, GAN",
Quality enhancement,On the use of attention in deep learning based denoising method for ancient Cham inscription images,"Tien-Nam Nguyen, Jean-Christophe Burie, Thi-Lan Le, Anne-Valerie Schweyer",International Conference on Document Analysis and Recognition,2021,Old Cham,inscriptions,Visual,Unsupervised,Trained,Deep Learning,CNN,Pix2pix
Quality enhancement,Dataset Augmentation in Papyrology with Generative Models: A Study of Synthetic Ancient Greek Character Images,"Matthew I Swindall, Timothy Player, Ben Keener, Alex C Williams, James H Brusuelas, Federica Nicolardi, Marzia D’Angelo, Claudio Vergara, Michael McOsker, John F Wallin",International Joint Conference on Artificial Intelligence (IJCAI),2022,Ancient Greek,Papyri,Visual,Supervised & Unsupervised,Trained,Deep Learning,"CNN, GAN",StyleGAN2
Quality enhancement,Artificial Intelligence for Dunhuang Cultural Heritage Protection: The Project and the Dataset,"Tianxiu Yu, Cong Lin, Shijie Zhang, Chunxue Wang, Xiaohong Ding, Huili An, Xiaoxiang Liu, Ting Qu, Liang Wan, Shaodi You, others",International Journal of Computer Vision,2022,Old Chinese,,Visual,Self-supervised,Both,Deep Learning,"CNN, GAN","EdgeConnect, PConv, VGG"
Quality enhancement,AGTGAN: Unpaired Image Translation for Photographic Ancient Character Generation,"Hongxiang Huang, Daihui Yang, Gang Dai, Zhen Han, Yuyi Wang, Kin-Man Lam, Fan Yang, Shuangping Huang, Yongge Liu, Mengchao He",ACM International Conference on Multimedia,2022,Oracle Bone script,,Visual,Unsupervised,Trained,Deep Learning,GAN,
